date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:29:53	523986/523986	---M--	200	added ('OK')	image/jpeg	etag:%227fed2-570cf6b6fe5e7%22	http://localhost/dada/wp-content/uploads/2015/12/home_journey_intro.jpg	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/uploads/2015/12/home_journey_intro.jpg	(from http://localhost/dada/)
22:29:54	1078/1078	---M--	200	added ('OK')	application/javascript	etag:%22436-524d06f9e5c00%22	http://localhost/dada/wp-includes/js/comment-reply.min.js?ver=4.9.7	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-includes/js/comment-reply.min37cb.js	(from http://localhost/dada/)
22:29:54	1398/1398	---M--	200	added ('OK')	application/javascript	etag:%22576-541f2f9e55280%22	http://localhost/dada/wp-includes/js/wp-embed.min.js?ver=4.9.7	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-includes/js/wp-embed.min37cb.js	(from http://localhost/dada/)
22:29:54	847/847	---M--	200	added ('OK')	image/gif	etag:%2234f-570cf0d527d1e%22	http://localhost/dada/wp-content/plugins/contact-form-7/images/ajax-loader.gif	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/plugins/contact-form-7/images/ajax-loader.gif	(from http://localhost/dada/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.3)
22:29:55	108/108	---M--	200	added ('OK')	image/png	etag:%226c-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/images/box_shadow_button.png	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/images/box_shadow_button.png	(from http://localhost/dada/wp-content/themes/betheme/css/base.css?ver=17.8)
22:29:56	68373/68373	---M--	200	added ('OK')	application/javascript	etag:%2210b15-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/js/scripts.js?ver=17.8	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/js/scripts4d75.js	(from http://localhost/dada/)
22:30:08	80636/80636	---M--	200	added ('OK')	font/woff	etag:%2213afc-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/fonts/mfn-icons.woff?23391439	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/fonts/mfn-icons2e38.woff	(from http://localhost/dada/wp-content/themes/betheme/css/base.css?ver=17.8)
22:30:09	184060/184060	---M--	200	added ('OK')	image/svg+xml	etag:%222cefc-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/fonts/mfn-icons.svg?23391439	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/fonts/mfn-icons2e38.svg	(from http://localhost/dada/wp-content/themes/betheme/css/base.css?ver=17.8)
22:30:11	241/241	---M--	200	added ('OK')	image/png	etag:%22f1-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/images/contact_form_error.png	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/images/contact_form_error.png	(from http://localhost/dada/wp-content/themes/betheme/css/base.css?ver=17.8)
22:30:11	1077/1077	---M--	200	added ('OK')	image/png	etag:%22435-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/images/bg_panel.png	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/images/bg_panel.png	(from http://localhost/dada/wp-content/themes/betheme/css/base.css?ver=17.8)
22:30:13	972/972	---M--	200	added ('OK')	image/png	etag:%223cc-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/images/stripes/stripes_5_b.png	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/images/stripes/stripes_5_b.png	(from http://localhost/dada/wp-content/themes/betheme/css/base.css?ver=17.8)
22:30:13	974/974	---M--	200	added ('OK')	image/png	etag:%223ce-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/images/stripes/stripes_3_b.png	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/images/stripes/stripes_3_b.png	(from http://localhost/dada/wp-content/themes/betheme/css/layout.css?ver=17.8)
22:30:13	196938/196938	---M--	200	added ('OK')	application/javascript	etag:%223014a-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/js/plugins.js?ver=17.8	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/js/plugins4d75.js	(from http://localhost/dada/)
22:30:14	108/108	---M--	200	added ('OK')	image/png	etag:%226c-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/images/box_shadow.png	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/images/box_shadow.png	(from http://localhost/dada/wp-content/themes/betheme/css/layout.css?ver=17.8)
22:30:14	404/404	---M--	200	added ('OK')	image/gif	etag:%22194-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/images/preloader.gif	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/images/preloader.gif	(from http://localhost/dada/wp-content/themes/betheme/css/layout.css?ver=17.8)
22:30:14	124476/124476	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221e63c-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/fonts/mfn-icons.eot?23391439	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/fonts/mfn-icons2e38.eot	(from http://localhost/dada/wp-content/themes/betheme/css/base.css?ver=17.8)
22:30:14	1541/1541	---M--	200	added ('OK')	image/png	etag:%22605-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/images/blockquote.png	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/images/blockquote.png	(from http://localhost/dada/wp-content/themes/betheme/css/layout.css?ver=17.8)
22:30:15	1486/1486	---M--	200	added ('OK')	image/png	etag:%225ce-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/images/link.png	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/images/link.png	(from http://localhost/dada/wp-content/themes/betheme/css/layout.css?ver=17.8)
22:30:15	124304/124304	---M--	200	added ('OK')	font/ttf	etag:%221e590-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/fonts/mfn-icons.ttf?23391439	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/fonts/mfn-icons2e38.ttf	(from http://localhost/dada/wp-content/themes/betheme/css/base.css?ver=17.8)
22:30:15	115/115	---M--	200	added ('OK')	image/png	etag:%2273-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/images/top_bar_right_shadow.png	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/images/top_bar_right_shadow.png	(from http://localhost/dada/wp-content/themes/betheme/css/layout.css?ver=17.8)
22:30:15	241/241	---M--	200	added ('OK')	image/png	etag:%22f1-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/images/blog_masonry_tile_gradient.png	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/images/blog_masonry_tile_gradient.png	(from http://localhost/dada/wp-content/themes/betheme/css/layout.css?ver=17.8)
22:30:16	2338/2338	---M--	200	added ('OK')	image/png	etag:%22922-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/images/timeline_right.png	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/images/timeline_right.png	(from http://localhost/dada/wp-content/themes/betheme/css/layout.css?ver=17.8)
22:30:16	1359/1359	---M--	200	added ('OK')	image/png	etag:%2254f-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/images/photo.png	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/images/photo.png	(from http://localhost/dada/wp-content/themes/betheme/css/layout.css?ver=17.8)
22:30:16	1168/1168	---M--	200	added ('OK')	image/png	etag:%22490-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/images/recent_comments.png	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/images/recent_comments.png	(from http://localhost/dada/wp-content/themes/betheme/css/layout.css?ver=17.8)
22:30:17	982/982	---M--	200	added ('OK')	image/png	etag:%223d6-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/images/stripes/stripes_10_w.png	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/images/stripes/stripes_10_w.png	(from http://localhost/dada/wp-content/themes/betheme/css/layout.css?ver=17.8)
22:30:17	966/966	---M--	200	added ('OK')	image/png	etag:%223c6-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/images/videomask.png	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/images/videomask.png	(from http://localhost/dada/wp-content/themes/betheme/css/layout.css?ver=17.8)
22:30:17	2993/2993	---M--	200	added ('OK')	image/png	etag:%22bb1-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/images/fancy_heading_hr_dark.png	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/images/fancy_heading_hr_dark.png	(from http://localhost/dada/wp-content/themes/betheme/css/layout.css?ver=17.8)
22:30:18	1160/1160	---M--	200	added ('OK')	image/png	etag:%22488-54da6492ab9c0%22	http://localhost/dada/wp-content/themes/betheme/images/stripes/textline.png	C:/My%20Web%20Sites/first%20site/localhost/dada/wp-content/themes/betheme/images/stripes/textline.png	(from http://localhost/dada/wp-content/themes/betheme/css/shortcodes.css?ver=17.8)
